epoch: 57    train_acc: 0.8418047884990277     train_loss: 0.3650417718659009     valid_acc: 0.8805309736271524      valid_loss: 0.31950303709964134
epoch: 58    train_acc: 0.8451197055163304     train_loss: 0.35594251225007834     valid_acc: 0.881268436753996      valid_loss: 0.31888851655268036
epoch: 59    train_acc: 0.8447513811276542     train_loss: 0.35688949148299287     valid_acc: 0.8827433630076833      valid_loss: 0.31809342751460795
epoch: 60    train_acc: 0.8460405156098677     train_loss: 0.3600020504349064     valid_acc: 0.8827433630076833      valid_loss: 0.31717602455862154
epoch: 61    train_acc: 0.8464088399107285     train_loss: 0.3525449607363502     valid_acc: 0.8827433630076833      valid_loss: 0.3162616164722977
epoch: 62    train_acc: 0.8467771639261895     train_loss: 0.35466911400879286     valid_acc: 0.8842182892613706      valid_loss: 0.3155009405890749
epoch: 63    train_acc: 0.840147329781815     train_loss: 0.3577061450174061     valid_acc: 0.8842182892613706      valid_loss: 0.3146680965799849
epoch: 64    train_acc: 0.8453038676887147     train_loss: 0.35498310745750344     valid_acc: 0.8842182892613706      valid_loss: 0.31404360500233014
epoch: 65    train_acc: 0.8471454879416506     train_loss: 0.35332260694951645     valid_acc: 0.8849557523882143      valid_loss: 0.31338456796158026
epoch: 66    train_acc: 0.8515653775980898     train_loss: 0.34958893138620295     valid_acc: 0.8864306786419016      valid_loss: 0.31265003768216193
epoch: 67    train_acc: 0.8447513809739775     train_loss: 0.34813076369670215     valid_acc: 0.8864306786419016      valid_loss: 0.3121412649179279
epoch: 68    train_acc: 0.8497237566426314     train_loss: 0.35139961843112993     valid_acc: 0.8871681417687453      valid_loss: 0.3116848965046328
epoch: 69    train_acc: 0.8438305710780247     train_loss: 0.35300535964702373     valid_acc: 0.8879056048955889      valid_loss: 0.3110657865758491
epoch: 70    train_acc: 0.8467771638164204     train_loss: 0.35518730600016335     valid_acc: 0.8886430680224325      valid_loss: 0.31032754370948207
epoch: 71    train_acc: 0.8430939227177952     train_loss: 0.3491736142674862     valid_acc: 0.8893805311492763      valid_loss: 0.30961308410737365
epoch: 72    train_acc: 0.8504604052882607     train_loss: 0.34707031385016046     valid_acc: 0.8901179942761199      valid_loss: 0.3090373421401049
epoch: 73    train_acc: 0.8488029466588634     train_loss: 0.34471918454266826     valid_acc: 0.8901179942761199      valid_loss: 0.3086603497069845
epoch: 74    train_acc: 0.8543278082738704     train_loss: 0.34875494078158453     valid_acc: 0.8901179948035947      valid_loss: 0.30798053143650383
epoch: 75    train_acc: 0.8480662981010493     train_loss: 0.34575387030894805     valid_acc: 0.8901179948035947      valid_loss: 0.30725223423808723
epoch: 76    train_acc: 0.8499079191443231     train_loss: 0.34685661926673483     valid_acc: 0.8901179948035947      valid_loss: 0.3067767991516794
epoch: 77    train_acc: 0.844567219218716     train_loss: 0.3446614044476609     valid_acc: 0.8901179948035947      valid_loss: 0.30637685387535435
epoch: 78    train_acc: 0.8523020257387811     train_loss: 0.34876043863498485     valid_acc: 0.8908554579304383      valid_loss: 0.3057316608924781
